QuarterID,GameID,Number,Name,AwayScore,HomeScore
163024,20809,1,1,19,37
163025,20809,2,2,30,29
163026,20809,3,3,25,21
163027,20809,4,4,25,24
163028,20810,1,1,29,20
163029,20810,2,2,24,23
163030,20810,3,3,28,27
163031,20810,4,4,23,26
163032,20747,1,1,23,29
163033,20747,2,2,31,32
163034,20747,3,3,29,34
163035,20747,4,4,25,30
163036,20748,1,1,30,21
163037,20748,2,2,21,29
163038,20748,3,3,31,28
163039,20748,4,4,20,27
163040,20749,1,1,46,29
163041,20749,2,2,24,30
163042,20749,3,3,34,25
163043,20749,4,4,18,38
163044,20749,5,OT,8,4
163045,20750,1,1,29,20
163046,20750,2,2,28,39
163047,20750,3,3,23,22
163048,20750,4,4,26,33
163049,20752,1,1,32,34
163050,20752,2,2,27,32
163051,20752,3,3,32,25
163052,20752,4,4,23,23
163053,20751,1,1,35,35
163054,20751,2,2,20,34
163055,20751,3,3,19,26
163056,20751,4,4,25,17
163057,20753,1,1,24,27
163058,20753,2,2,19,23
163059,20753,3,3,26,16
163060,20753,4,4,32,30
163061,20752,5,OT,8,13
163062,20754,1,1,29,28
163063,20754,2,2,22,29
163064,20754,3,3,34,34
163065,20754,4,4,22,23
163066,20755,1,1,43,30
163067,20755,2,2,38,44
163068,20755,3,3,17,30
163069,20755,4,4,23,18
163070,20756,1,1,35,34
163071,20756,2,2,26,41
163072,20756,3,3,41,35
163073,20756,4,4,24,19
163074,20757,1,1,25,26
163075,20757,2,2,20,31
163076,20757,3,3,35,20
163077,20757,4,4,27,31
163078,20758,1,1,22,25
163079,20758,2,2,30,28
163080,20758,3,3,28,25
163081,20758,4,4,29,35
163082,20761,1,1,28,25
163083,20759,1,1,26,38
163084,20761,2,2,25,26
163085,20761,3,3,18,25
163086,20761,4,4,31,32
163087,20759,2,2,41,30
163088,20759,3,3,21,19
163089,20759,4,4,34,18
163090,20760,1,1,31,29
163091,20760,2,2,24,31
163092,20760,3,3,25,26
163093,20760,4,4,23,36
163094,20763,1,1,25,23
163095,20763,2,2,30,25
163096,20763,3,3,32,29
163097,20763,4,4,28,30
163098,20762,1,1,21,29
163099,20762,2,2,18,20
163100,20762,3,3,30,23
163101,20762,4,4,29,31
163102,20765,1,1,35,31
163103,20765,2,2,32,28
163104,20765,3,3,23,16
163105,20765,4,4,22,26
163106,20766,1,1,28,30
163107,20766,2,2,23,20
163108,20766,3,3,28,40
163109,20766,4,4,22,19
163110,20811,1,1,28,34
163111,20811,2,2,30,40
163112,20811,3,3,32,28
163113,20811,4,4,38,23
163114,20768,1,1,30,23
163115,20768,2,2,22,22
163116,20768,3,3,23,18
163117,20768,4,4,17,35
163118,20767,1,1,31,31
163119,20767,2,2,32,20
163120,20767,3,3,25,25
163121,20767,4,4,20,29
163122,20769,1,1,31,29
163123,20769,2,2,19,30
163124,20769,3,3,23,25
163125,20769,4,4,29,19
163126,20771,1,1,33,33
163127,20771,2,2,23,23
163128,20771,3,3,23,33
163129,20771,4,4,33,23
163130,20770,1,1,33,26
163131,20770,2,2,23,14
163132,20770,3,3,29,21
163133,20770,4,4,35,26
163134,20772,1,1,37,40
163135,20772,2,2,39,15
163136,20772,3,3,15,33
163137,20772,4,4,31,23
163138,20771,5,OT,7,7
163139,20771,6,OT2,5,14
163140,20774,1,1,25,24
163141,20774,2,2,31,35
163142,20774,3,3,28,27
163143,20774,4,4,20,34
163144,20775,1,1,32,37
163145,20775,2,2,31,33
163146,20775,3,3,37,30
163147,20775,4,4,29,25
163148,20776,1,1,21,28
163149,20776,2,2,15,26
163150,20776,3,3,35,28
163151,20776,4,4,34,28
163152,20777,1,1,28,30
163153,20777,2,2,29,24
163154,20777,3,3,27,30
163155,20777,4,4,37,28
163156,20778,1,1,34,40
163157,20778,2,2,28,35
163158,20778,3,3,35,36
163159,20778,4,4,36,27
163160,20779,1,1,27,29
163161,20779,2,2,34,38
163162,20779,3,3,26,31
163163,20779,4,4,28,19
163164,20780,1,1,31,27
163165,20780,2,2,37,31
163166,20780,3,3,33,40
163167,20780,4,4,23,34
163168,20781,1,1,28,29
163169,20781,2,2,28,24
163170,20781,3,3,30,26
163171,20781,4,4,22,18
163172,20782,1,1,24,25
163173,20782,2,2,28,34
163174,20782,3,3,25,28
163175,20782,4,4,25,29
163176,20783,1,1,25,38
163177,20783,2,2,31,21
163178,20783,3,3,27,24
163179,20783,4,4,28,28
163180,20783,5,OT,10,4
163181,20784,1,1,31,30
163182,20784,2,2,15,43
163183,20784,3,3,35,21
163184,20784,4,4,31,22
163185,20785,1,1,34,21
163186,20785,2,2,34,30
163187,20785,3,3,28,32
163188,20785,4,4,31,36
163189,20786,1,1,26,35
163190,20786,2,2,17,17
163191,20786,3,3,20,24
163192,20786,4,4,36,13
163193,20787,1,1,23,36
163194,20787,2,2,31,40
163195,20787,3,3,25,23
163196,20787,4,4,27,18
163197,20788,1,1,25,26
163198,20788,2,2,28,29
163199,20788,3,3,24,21
163200,20788,4,4,27,16
163201,20789,1,1,30,41
163202,20789,2,2,30,37
163203,20789,3,3,28,22
163204,20789,4,4,22,23
163205,20790,1,1,23,25
163206,20790,2,2,31,26
163207,20790,3,3,22,26
163208,20790,4,4,30,25
163209,20791,1,1,19,27
163210,20791,2,2,35,32
163211,20791,3,3,23,37
163212,20791,4,4,24,28
163213,20792,1,1,25,25
163214,20792,2,2,26,35
163215,20792,3,3,21,31
163216,20792,4,4,31,25
163217,20793,1,1,29,34
163218,20794,1,1,29,31
163219,20794,2,2,36,21
163220,20794,3,3,30,30
163221,20794,4,4,36,24
163222,20793,2,2,29,25
163223,20793,3,3,21,18
163224,20793,4,4,28,27
163225,20795,1,1,13,32
163226,20795,2,2,31,28
163227,20795,3,3,31,23
163228,20795,4,4,28,34
163229,20796,1,1,23,22
163230,20796,2,2,33,27
163231,20796,3,3,33,27
163232,20796,4,4,26,40
163233,20797,1,1,34,19
163234,20797,2,2,32,21
163235,20797,3,3,34,25
163236,20797,4,4,27,34
163237,20798,1,1,28,20
163238,20799,1,1,27,23
163239,20799,2,2,22,31
163240,20799,3,3,39,36
163241,20799,4,4,30,26
163242,20798,2,2,24,31
163243,20798,3,3,36,25
163244,20798,4,4,26,29
163245,20802,1,1,26,27
163246,20802,2,2,23,27
163247,20802,3,3,36,25
163248,20802,4,4,28,37
163249,20800,1,1,24,23
163250,20801,1,1,24,20
163251,20800,2,2,29,30
163252,20800,3,3,25,18
163253,20800,4,4,25,19
163254,20801,2,2,30,38
163255,20801,3,3,35,15
163256,20801,4,4,34,27
163257,20804,1,1,25,24
163258,20804,2,2,36,25
163259,20804,3,3,30,38
163260,20804,4,4,15,33
163261,20803,1,1,26,26
163262,20803,2,2,25,30
163263,20803,3,3,29,27
163264,20803,4,4,24,26
163265,20805,1,1,24,31
163266,20805,2,2,28,27
163267,20805,3,3,22,43
163268,20805,4,4,24,33
163269,20807,1,1,23,29
163270,20807,2,2,35,23
163271,20807,3,3,36,33
163272,20807,4,4,22,39
163273,20806,1,1,31,30
163274,20806,2,2,21,36
163275,20806,3,3,19,15
163276,20806,4,4,33,29
163277,20812,1,1,27,40
163278,20812,2,2,25,19
