StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
807198,5,20002109,2,2021,Gary Clark,ORL,PF,0,3,24.70,39,38,2.00,10.00,20.0,1.00,1.00,100,1.00,9.00,11.1,2.00,2.00,100,0.00,11.00,11.00,1.00,2.00,1.00,3.00,5.00,7.00,27.70,27.25,-10.00,0.00,0.00
807199,28,20002302,2,2021,Mfiondu Kabengele,LAC,PF,0,3,38.00,54,32,5.00,14.00,35.7,1.00,4.00,25.0,4.00,10.00,40.0,4.00,4.00,100,1.00,9.00,10.00,2.00,0.00,4.00,3.00,9.00,18.00,42.00,42.00,-13.00,0.00,0.00
807610,10,20000652,2,2021,Aron Baynes,TOR,C,3,3,31.50,48,55,6.00,15.00,40.0,5.00,11.00,45.5,1.00,4.00,25.0,0.00,1.00,0,1.00,14.00,15.00,1.00,2.00,0.00,5.00,8.00,13.00,33.50,35.25,2.00,0.00,0.00
807611,10,20000852,2,2021,Alex Len,TOR,C,0,3,24.60,29,28,3.00,4.00,75.0,3.00,3.00,100,0.00,1.00,0,3.00,7.00,42.9,3.00,5.00,8.00,0.00,3.00,1.00,2.00,7.00,9.00,28.60,26.00,24.00,0.00,0.00
807612,20,20000887,2,2021,Will Barton,DEN,SG,1,2,33.30,38,4,5.00,13.00,38.5,3.00,6.00,50.0,2.00,7.00,28.6,0.00,1.00,0,0.00,4.00,4.00,7.00,3.00,0.00,0.00,1.00,12.00,36.30,34.50,18.00,0.00,0.00
807613,21,20001401,2,2021,Justise Winslow,MEM,SF,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
807614,15,20001438,2,2021,Pat Connaughton,MIL,SG,0,3,20.00,41,28,2.00,10.00,20.0,1.00,4.00,25.0,1.00,6.00,16.7,3.00,3.00,100,2.00,3.00,5.00,2.00,0.00,2.00,1.00,5.00,8.00,22.00,21.25,-37.00,0.00,0.00
807615,24,20001687,2,2021,Jakob Poeltl,SA,C,1,3,44.40,47,22,5.00,7.00,71.4,5.00,7.00,71.4,0.00,0.00,0,2.00,7.00,28.6,3.00,14.00,17.00,2.00,2.00,4.00,3.00,3.00,12.00,50.40,46.75,-4.00,0.00,0.00
807616,10,20001838,2,2021,OG Anunoby,TOR,SF,3,3,37.40,60,48,8.00,17.00,47.1,5.00,8.00,62.5,3.00,9.00,33.3,2.00,2.00,100,2.00,5.00,7.00,2.00,4.00,0.00,3.00,6.00,21.00,41.40,40.75,-26.00,0.00,0.00
807617,21,20001873,2,2021,Dillon Brooks,MEM,SF,4,4,106.80,90,15,27.00,56.00,48.2,17.00,33.00,51.5,10.00,23.00,43.5,2.00,3.00,66.7,3.00,11.00,14.00,14.00,3.00,1.00,5.00,15.00,66.00,110.80,115.00,34.00,0.00,0.00
807618,15,20001987,2,2021,Donte Divincenzo,MIL,SG,3,3,60.60,63,47,10.00,24.00,41.7,7.00,11.00,63.6,3.00,13.00,23.1,1.00,1.00,100,4.00,14.00,18.00,6.00,4.00,1.00,4.00,5.00,24.00,65.60,65.00,11.00,0.00,0.00
807619,16,20002273,2,2021,Jarrett Culver,MIN,SG,0,3,64.30,67,26,10.00,23.00,43.5,6.00,16.00,37.5,4.00,7.00,57.1,10.00,10.00,100,2.00,7.00,9.00,7.00,5.00,2.00,5.00,6.00,34.00,71.30,69.25,14.00,0.00,0.00
807620,26,20002573,2,2021,Nico Mannion,GS,PG,0,3,22.80,26,26,2.00,11.00,18.2,2.00,8.00,25.0,0.00,3.00,0,0.00,0.00,0,1.00,3.00,4.00,8.00,2.00,0.00,2.00,1.00,4.00,24.80,24.00,10.00,0.00,0.00
807621,12,20002624,2,2021,Charles Matthews,CLE,SG,0,2,16.90,16,22,1.00,4.00,25.0,0.00,2.00,0,1.00,2.00,50.0,4.00,6.00,66.7,3.00,4.00,7.00,1.00,0.00,1.00,2.00,2.00,7.00,17.90,18.75,7.00,0.00,0.00
807622,2,20002638,2,2021,Keandre Cook,CHA,PG,0,1,0.00,1,46,0.00,2.00,0,0.00,1.00,0,0.00,1.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00
807623,20,20001666,2,2021,Jamal Murray,DEN,PG,3,3,54.80,64,21,9.00,19.00,47.4,7.00,13.00,53.8,2.00,6.00,33.3,8.00,10.00,80.0,2.00,12.00,14.00,10.00,0.00,2.00,9.00,6.00,28.00,56.80,61.00,27.00,0.00,0.00
807624,21,20002266,2,2021,Ja Morant,MEM,PG,4,4,154.30,103,3,25.00,45.00,55.6,21.00,33.00,63.6,4.00,12.00,33.3,16.00,22.00,72.7,3.00,16.00,19.00,39.00,6.00,0.00,9.00,5.00,70.00,160.30,164.75,79.00,2.00,0.00
807625,18,20002352,2,2021,Moses Brown,OKC,C,0,2,19.60,12,44,5.00,7.00,71.4,5.00,7.00,71.4,0.00,0.00,0,2.00,5.00,40.0,1.00,2.00,3.00,0.00,1.00,1.00,0.00,4.00,12.00,21.60,19.75,-1.00,0.00,0.00
807626,17,20002552,2,2021,Udoka Azubuike,UTA,C,0,2,16.00,19,13,4.00,5.00,80.0,4.00,5.00,80.0,0.00,0.00,0,0.00,3.00,0,1.00,4.00,5.00,0.00,0.00,2.00,2.00,4.00,8.00,18.00,17.25,4.00,0.00,0.00
807627,18,20002559,2,2021,Theo Maledon,OKC,PG,0,2,48.80,59,25,10.00,23.00,43.5,6.00,14.00,42.9,4.00,9.00,44.4,7.00,7.00,100,1.00,8.00,9.00,4.00,2.00,0.00,3.00,5.00,31.00,50.80,52.75,-11.00,0.00,0.00
807628,21,20000800,2,2021,Gorgui Dieng,MEM,C,0,4,57.60,66,32,7.00,20.00,35.0,7.00,11.00,63.6,0.00,9.00,0,4.00,6.00,66.7,5.00,13.00,18.00,4.00,5.00,3.00,4.00,12.00,18.00,65.60,60.50,25.00,0.00,0.00
