StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
1002632,1,20000441,2,2023,Bradley Beal,WAS,SG,2,2,51.40,47,38,10.00,21.00,47.6,8.00,11.00,72.7,2.00,10.00,20.0,3.00,5.00,60.0,4.00,3.00,7.00,8.00,5.00,0.00,4.00,1.00,25.00,56.40,54.75,-17.00,0.00,0.00
1002633,26,20002917,2,2023,Ryan Rollins,GS,SG,0,4,51.80,48,20,8.00,20.00,40.0,6.00,17.00,35.3,2.00,3.00,66.7,11.00,14.00,78.6,0.00,4.00,4.00,8.00,4.00,0.00,2.00,7.00,29.00,55.80,54.00,12.00,0.00,0.00
1002634,26,20000487,2,2023,Andre Iguodala,GS,SF,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1002635,1,20002877,2,2023,Johnny Davis,WAS,SG,0,4,40.40,77,17,2.00,21.00,9.5,2.00,15.00,13.3,0.00,6.00,0,6.00,6.00,100,0.00,12.00,12.00,6.00,4.00,1.00,3.00,9.00,10.00,45.40,42.50,-2.00,0.00,0.00
1002636,26,20001987,2,2023,Donte DiVincenzo,GS,SG,1,5,75.90,87,7,6.00,21.00,28.6,3.00,6.00,50.0,3.00,15.00,20.0,8.00,9.00,88.9,4.00,18.00,22.00,17.00,5.00,1.00,11.00,8.00,23.00,81.90,84.00,-2.00,0.00,0.00
1002637,1,20002651,2,2023,Corey Kispert,WAS,SF,0,2,10.10,23,50,1.00,9.00,11.1,1.00,5.00,20.0,0.00,4.00,0,2.00,2.00,100,0.00,3.00,3.00,1.00,0.00,1.00,1.00,2.00,4.00,11.10,10.75,4.00,0.00,0.00
1002638,1,20001858,2,2023,Kyle Kuzma,WAS,PF,3,4,68.70,100,56,14.00,42.00,33.3,10.00,22.00,45.5,4.00,20.00,20.0,5.00,6.00,83.3,0.00,16.00,16.00,7.00,0.00,5.00,8.00,10.00,37.00,73.70,75.50,-46.00,0.00,0.00
1002639,1,20001406,2,2023,Kristaps Porzingis,WAS,C,2,3,84.60,59,5,13.00,29.00,44.8,8.00,15.00,53.3,5.00,14.00,35.7,14.00,15.00,93.3,1.00,12.00,13.00,6.00,6.00,3.00,3.00,11.00,45.00,93.60,89.25,13.00,0.00,0.00
1002640,26,20000642,2,2023,JaMychal Green,GS,PF,1,4,62.70,66,24,8.00,18.00,44.4,4.00,8.00,50.0,4.00,10.00,40.0,0.00,0.00,0,7.00,14.00,21.00,5.00,4.00,2.00,2.00,8.00,20.00,68.70,66.75,32.00,0.00,0.00
1002641,26,20003012,2,2023,Pat Spencer,GS,SG,0,4,45.00,51,41,7.00,12.00,58.3,6.00,9.00,66.7,1.00,3.00,33.3,8.00,8.00,100,1.00,9.00,10.00,6.00,2.00,0.00,3.00,1.00,23.00,47.00,47.50,27.00,0.00,0.00
1002642,1,20002557,2,2023,Vernon Carey Jr.,WAS,PF,0,3,32.90,24,51,4.00,10.00,40.0,4.00,9.00,44.4,0.00,1.00,0,3.00,7.00,42.9,6.00,6.00,12.00,1.00,1.00,3.00,2.00,1.00,11.00,36.90,34.50,-13.00,0.00,0.00
