StatID,TeamID,SeasonType,Season,Name,Team,Wins,Losses,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
1005657,3,2,2023,Atlanta Hawks,ATL,2,2,4,822.40,961,26,163.00,348.00,46.8,116.00,227.00,51.1,47.00,121.00,38.8,78.00,99.00,78.8,34.00,143.00,177.00,90.00,21.00,15.00,48.00,82.00,451.00,858.40,878.75,25.00,0.00,0.00
1011173,3,1,2023,Atlanta Hawks,ATL,41,41,82,18100.30,19854,49,3658.00,7574.00,48.3,2776.00,5069.00,54.8,882.00,2505.00,35.2,1513.00,1850.00,81.8,920.00,2719.00,3639.00,2049.00,580.00,401.00,1013.00,1541.00,9711.00,19081.30,19397.75,120.00,111.00,1.00
1095196,3,3,2023,Atlanta Hawks,ATL,3,4,7,1551.70,1680,0,309.00,674.00,45.8,215.00,409.00,52.6,94.00,265.00,35.5,99.00,129.00,76.7,95.00,231.00,326.00,173.00,51.00,37.00,86.00,119.00,811.00,1639.70,1668.50,-105.00,7.00,0.00
1011194,8,1,2023,Brooklyn Nets,BKN,45,37,82,17545.90,19698,41,3399.00,6978.00,48.7,2351.00,4207.00,55.9,1048.00,2771.00,37.8,1449.00,1811.00,80.0,674.00,2648.00,3322.00,2093.00,585.00,506.00,1057.00,1730.00,9295.00,18636.90,18857.50,335.00,58.00,3.00
1096776,8,3,2023,Brooklyn Nets,BKN,0,4,4,697.50,929,55,136.00,309.00,44.0,91.00,171.00,53.2,45.00,138.00,32.6,53.00,73.00,72.6,23.00,117.00,140.00,89.00,21.00,15.00,46.00,62.00,370.00,733.50,753.00,-228.00,2.00,0.00
1004104,8,2,2023,Brooklyn Nets,BKN,2,2,4,806.90,960,0,145.00,324.00,44.8,106.00,198.00,53.5,39.00,126.00,31.0,78.00,106.00,73.6,33.00,144.00,177.00,97.00,39.00,23.00,82.00,94.00,407.00,868.90,877.75,-140.00,1.00,0.00
1010178,9,1,2023,Boston Celtics,BOS,57,25,82,18269.40,19979,56,3460.00,7278.00,47.5,2145.00,3786.00,56.7,1315.00,3492.00,37.7,1436.00,1769.00,81.2,796.00,2921.00,3717.00,2186.00,521.00,430.00,1043.00,1542.00,9671.00,19220.40,19751.25,2678.00,74.00,2.00
1003291,9,2,2023,Boston Celtics,BOS,2,2,4,917.90,1010,0,171.00,363.00,47.1,95.00,166.00,57.2,76.00,197.00,38.6,81.00,98.00,82.7,39.00,163.00,202.00,123.00,17.00,15.00,72.00,101.00,499.00,949.90,1005.00,205.00,2.00,0.00
1096777,9,3,2023,Boston Celtics,BOS,11,9,20,4249.70,4825,0,817.00,1710.00,47.8,536.00,937.00,57.2,281.00,773.00,36.4,324.00,400.00,81.0,189.00,672.00,861.00,483.00,120.00,127.00,241.00,343.00,2239.00,4496.70,4583.75,335.00,20.00,0.00
1011189,2,1,2023,Charlotte Hornets,CHA,27,55,82,17570.20,19831,29,3385.00,7413.00,45.7,2504.00,4744.00,52.8,881.00,2669.00,33.0,1447.00,1933.00,74.9,901.00,2750.00,3651.00,2062.00,634.00,425.00,1120.00,1661.00,9098.00,18629.20,18877.75,-2556.00,77.00,3.00
1003292,2,2,2023,Charlotte Hornets,CHA,0,5,5,983.40,1200,0,184.00,462.00,39.8,148.00,305.00,48.5,36.00,157.00,22.9,90.00,130.00,69.2,71.00,166.00,237.00,92.00,43.00,31.00,81.00,108.00,494.00,1057.40,1053.75,-445.00,0.00,0.00
