QuarterID,GameID,Number,Name,AwayScore,HomeScore
160042,18755,1,1,28,26
160043,18755,2,2,30,36
160044,18755,3,3,24,32
160045,18755,4,4,26,27
160046,18759,1,1,30,23
160047,18759,2,2,21,23
160048,18759,3,3,27,27
160049,18759,4,4,26,23
160050,18757,1,1,28,37
160051,18757,2,2,21,33
160052,18757,3,3,33,28
160053,18757,4,4,32,32
160054,18763,1,1,33,30
160055,18763,2,2,35,27
160056,18763,3,3,25,32
160057,18763,4,4,28,27
160058,18761,1,1,15,34
160059,18760,1,1,24,28
160060,18761,2,2,31,29
160061,18761,3,3,35,34
160062,18761,4,4,36,30
160063,18760,2,2,25,25
160064,18760,3,3,40,31
160065,18760,4,4,29,42
160066,18762,1,1,28,29
160067,18762,2,2,34,30
160068,18762,3,3,30,23
160069,18762,4,4,23,19
160070,18764,1,1,37,38
160071,18764,2,2,36,35
160072,18764,3,3,36,36
160073,18764,4,4,27,25
160074,18765,1,1,35,27
160075,18765,2,2,36,27
160076,18765,3,3,29,28
160077,18765,4,4,23,29
160078,18766,1,1,27,34
160079,18766,2,2,26,24
160080,18766,3,3,21,31
160081,18766,4,4,31,28
160082,18767,1,1,27,15
160083,18767,2,2,18,32
160084,18767,3,3,34,26
160085,18767,4,4,32,43
160086,18769,1,1,24,23
160087,18769,2,2,28,43
160088,18769,3,3,38,32
160089,18769,4,4,28,25
160090,18768,1,1,31,30
160091,18768,2,2,35,34
160092,18768,3,3,13,18
160093,18768,4,4,23,19
160094,18771,1,1,34,33
160095,18771,2,2,21,36
160096,18771,3,3,28,27
160097,18771,4,4,26,24
160098,18770,1,1,24,33
160099,18770,2,2,34,29
160100,18770,3,3,19,19
160101,18770,4,4,27,15
160102,18773,1,1,35,26
160103,18773,2,2,22,28
160104,18773,3,3,23,25
160105,18773,4,4,32,19
160106,18772,1,1,25,26
160107,18772,2,2,41,26
160108,18772,3,3,19,35
160109,18772,4,4,27,21
160110,18774,1,1,35,37
160111,18774,2,2,33,19
160112,18774,3,3,32,32
160113,18774,4,4,32,24
160114,18775,1,1,25,28
160115,18775,2,2,25,31
160116,18775,3,3,23,25
160117,18775,4,4,26,23
160118,18776,1,1,22,22
160119,18776,2,2,24,29
160120,18776,3,3,27,27
160121,18776,4,4,38,29
160122,18777,1,1,25,35
160123,18777,2,2,36,37
160124,18777,3,3,31,25
160125,18777,4,4,21,24
160126,18778,1,1,23,29
160127,18778,2,2,25,33
160128,18778,3,3,31,32
160129,18778,4,4,30,28
160130,18779,1,1,31,41
160131,18779,2,2,21,31
160132,18779,3,3,32,35
160133,18779,4,4,27,29
160134,18781,1,1,20,27
160135,18781,2,2,23,38
160136,18781,3,3,32,42
160137,18781,4,4,41,40
160138,18780,1,1,26,31
160139,18780,2,2,30,32
160140,18780,3,3,32,26
160141,18780,4,4,23,23
160142,18782,1,1,34,35
160143,18782,2,2,32,37
160144,18782,3,3,28,24
160145,18782,4,4,26,36
160146,18783,1,1,24,31
160147,18783,2,2,31,24
160148,18783,3,3,29,33
160149,18783,4,4,30,28
160150,18784,1,1,31,26
160151,18784,2,2,28,19
160152,18784,3,3,39,34
160153,18784,4,4,27,34
160154,18786,1,1,33,20
160155,18786,2,2,17,30
160156,18786,3,3,32,23
160157,18786,4,4,27,33
160158,18785,1,1,25,31
160159,18785,2,2,22,38
160160,18785,3,3,31,19
160161,18785,4,4,23,25
160162,18787,1,1,34,31
160163,18787,2,2,30,34
160164,18787,3,3,23,36
160165,18787,4,4,31,34
160166,18788,1,1,29,25
160167,18788,2,2,30,21
160168,18788,3,3,21,41
160169,18788,4,4,17,13
160170,18791,1,1,21,37
160171,18790,1,1,32,35
160172,18791,2,2,20,25
160173,18791,3,3,40,33
160174,18791,4,4,32,24
160175,18790,2,2,26,29
160176,18790,3,3,27,33
160177,18790,4,4,29,28
160178,18789,1,1,39,19
160179,18789,2,2,28,27
160180,18789,3,3,22,36
160181,18789,4,4,25,23
160182,18792,1,1,37,32
160183,18792,2,2,25,44
160184,18792,3,3,35,36
160185,18792,4,4,32,23
160186,18794,1,1,27,31
160187,18794,2,2,35,36
160188,18794,3,3,33,27
160189,18794,4,4,20,41
160190,18793,1,1,28,34
160191,18793,2,2,26,36
160192,18793,3,3,21,30
160193,18793,4,4,22,26
160194,18795,1,1,35,35
160195,18795,2,2,32,22
160196,18795,3,3,34,28
160197,18795,4,4,32,29
160198,18797,1,1,29,31
160199,18797,2,2,31,26
160200,18797,3,3,24,25
160201,18797,4,4,25,16
160202,18798,1,1,29,38
160203,18798,2,2,26,31
160204,18798,3,3,33,28
160205,18798,4,4,26,27
160206,18796,1,1,23,14
160207,18796,2,2,22,31
160208,18796,3,3,28,33
160209,18796,4,4,29,30
